;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;ENG Estatistica PN-1 Maristela Vg-30 ;;ENG Estatistica PN-1 Maristela Vg-30 ;COM10392 Linguagens_de_Programacao PN-9 RODRIGO_FREITAS_SILVA Vg-20 ;;
09h00;ENG Estatistica PN-1 Maristela Vg-30 ;;ENG Estatistica PN-1 Maristela Vg-30 ;COM10392 Linguagens_de_Programacao PN-9 RODRIGO_FREITAS_SILVA Vg-20 ;;
10h00;COM10275 Engenharia_de_Requisitos_de_Software PN-9 CLAYTON_VIEIRA_FRAGA_FILHO Vg-30 ;;COM10275 Engenharia_de_Requisitos_de_Software CC-3 CLAYTON_VIEIRA_FRAGA_FILHO Vg-30 ;;;
11h00;COM10275 Engenharia_de_Requisitos_de_Software PN-9 CLAYTON_VIEIRA_FRAGA_FILHO Vg-30 ;;COM10275 Engenharia_de_Requisitos_de_Software CC-3 CLAYTON_VIEIRA_FRAGA_FILHO Vg-30 ;;;
13h30;COM10395 Teoria_da_Computacao PC-4 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10392 Linguagens_de_Programacao PN-3 RODRIGO_FREITAS_SILVA Vg-20 ;COM10395 Teoria_da_Computacao PN-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;;COM10393 Metodos_de_Otimizacao CC-1 GERALDO_REGIS_MAURI Vg-20 ;
14h30;COM10395 Teoria_da_Computacao PC-4 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10392 Linguagens_de_Programacao PN-3 RODRIGO_FREITAS_SILVA Vg-20 ;COM10395 Teoria_da_Computacao PN-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;;COM10393 Metodos_de_Otimizacao CC-1 GERALDO_REGIS_MAURI Vg-20 ;
15h30;COM10396 Desenvolvimento_de_Sistemas_para_WEB CC-1 BRUNO_VILELA_OLIVEIRA Vg-20 ;COM10394 Redes_de_Computadores CC-2 RODRIGO_FREITAS_SILVA Vg-20 ;COM10394 Redes_de_Computadores CC-1 RODRIGO_FREITAS_SILVA Vg-20 ;;COM10396 Desenvolvimento_de_Sistemas_para_WEB CC-2 BRUNO_VILELA_OLIVEIRA Vg-20 ;
16h30;COM10396 Desenvolvimento_de_Sistemas_para_WEB CC-1 BRUNO_VILELA_OLIVEIRA Vg-20 ;COM10394 Redes_de_Computadores CC-2 RODRIGO_FREITAS_SILVA Vg-20 ;COM10394 Redes_de_Computadores CC-1 RODRIGO_FREITAS_SILVA Vg-20 ;;COM10396 Desenvolvimento_de_Sistemas_para_WEB CC-2 BRUNO_VILELA_OLIVEIRA Vg-20 ;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
