;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;COM06842 Programacao_I;
11h00;;;;;COM06842 Programacao_I;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;COM06842 Programacao_I;;COM06842 Programacao_I;COM10128 Algoritmos_Numericos;COM10128 Algoritmos_Numericos;
19h10;COM06842 Programacao_I;;COM06842 Programacao_I;COM10128 Algoritmos_Numericos;COM10128 Algoritmos_Numericos;
20h00;;;;;COM10399 Processamento_Digital_de_Imagens;
21h00;;;;;COM10399 Processamento_Digital_de_Imagens;
21h50;;COM10399 Processamento_Digital_de_Imagens;;;COM10399 Processamento_Digital_de_Imagens;
