;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;COM10275 Engenharia_de_Requisitos_de_Software;;;COM10733 Gerencia_de_Projeto_de_Software;;
11h00;COM10275 Engenharia_de_Requisitos_de_Software;;;COM10733 Gerencia_de_Projeto_de_Software;;
13h30;;;COM10733 Gerencia_de_Projeto_de_Software;COM10082 Programacao_II;COM10275 Engenharia_de_Requisitos_de_Software;
14h30;;;COM10733 Gerencia_de_Projeto_de_Software;COM10082 Programacao_II;COM10275 Engenharia_de_Requisitos_de_Software;
15h30;;;;;;
16h30;;;;;;
18h20;;;;;;
19h10;;;;;;
20h00;;COM10508 Projeto_de_Sistemas_de_Software;;;;
21h00;;COM10508 Projeto_de_Sistemas_de_Software;;;;
21h50;;;;;;
