;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;COM10395 Teoria_da_Computacao;;;
11h00;;;COM10395 Teoria_da_Computacao;;;
13h30;;;;COM10395 Teoria_da_Computacao;;
14h30;;;;COM10395 Teoria_da_Computacao;;
15h30;;;;;;
16h30;;;;;;
18h20;COM06992 Estrutura_de_Dados_I;;;COM06992 Estrutura_de_Dados_I;COM10014 Computabilidade_e_Complexidade;
19h10;COM06992 Estrutura_de_Dados_I;;;COM06992 Estrutura_de_Dados_I;COM10014 Computabilidade_e_Complexidade;
20h00;COM10014 Computabilidade_e_Complexidade;;;;;
21h00;COM10014 Computabilidade_e_Complexidade;;;;;
21h50;;;;;;
