;SEG;TER;QUA;QUI;SEX;
07h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
08h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
09h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
10h00;;;;;;
11h00;;;;;;
13h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
14h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
15h30;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;78 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
16h30;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;78 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
18h20;;;73 Programacao_I MA 1 ROMULO S-40 O-28 ;;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;
19h10;;;73 Programacao_I MA 1 ROMULO S-40 O-28 ;;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
