;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;COM10015 Engenharia_de_Software PN-12 BRUNO_VILELA_OLIVEIRA Vg-30 ;MPA06855 Algebra_linear PC-4 ELEONESIO_STREY Vg-45 ;COM10015 Engenharia_de_Software PN-12 BRUNO_VILELA_OLIVEIRA Vg-30 ;COM10014 Computabilidade_e_Complexidade PN-12 JULIANA_PINHEIRO_CAMPOS Vg-40 ;COM10014 Computabilidade_e_Complexidade PN-1 JULIANA_PINHEIRO_CAMPOS Vg-40 ;
19h10;COM10015 Engenharia_de_Software PN-12 BRUNO_VILELA_OLIVEIRA Vg-30 ;MPA06855 Algebra_linear PC-4 ELEONESIO_STREY Vg-45 ;COM10015 Engenharia_de_Software PN-12 BRUNO_VILELA_OLIVEIRA Vg-30 ;COM10014 Computabilidade_e_Complexidade PN-12 JULIANA_PINHEIRO_CAMPOS Vg-40 ;COM10014 Computabilidade_e_Complexidade PN-1 JULIANA_PINHEIRO_CAMPOS Vg-40 ;
20h00;COM10016 Sistema_de_Apoio_a_Decisao PN-12 SIMONE_DORNELAS_COSTA Vg-40 ;COM06992 Estrutura_de_Dados_I CC-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10016 Sistema_de_Apoio_a_Decisao PA-3 SIMONE_DORNELAS_COSTA Vg-40 ;MPA06855 Algebra_linear PC-4 ELEONESIO_STREY Vg-45 ;COM06992 Estrutura_de_Dados_I CC-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;
21h00;COM10016 Sistema_de_Apoio_a_Decisao PN-12 SIMONE_DORNELAS_COSTA Vg-40 ;COM06992 Estrutura_de_Dados_I CC-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10016 Sistema_de_Apoio_a_Decisao PA-3 SIMONE_DORNELAS_COSTA Vg-40 ;MPA06855 Algebra_linear PC-4 ELEONESIO_STREY Vg-45 ;COM06992 Estrutura_de_Dados_I CC-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;
21h50;;;;;;
