;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;COM06851 Matematica_Discreta;
09h00;;;;;COM06851 Matematica_Discreta;
10h00;COM06851 Matematica_Discreta;;;;;
11h00;COM06851 Matematica_Discreta;;;;;
13h30;COM06842 Programacao_I;COM06842 Programacao_I;;;;
14h30;COM06842 Programacao_I;COM06842 Programacao_I;;;;
15h30;;ENG10793 Trabalho_de_Conclusao_de_Curso_em_Ciencia_da_Computacao_I;;;;
16h30;;ENG10793 Trabalho_de_Conclusao_de_Curso_em_Ciencia_da_Computacao_I;;;;
18h20;;;;;;
19h10;;;;;;
20h00;COM06842 Programacao_I;COM11261 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II;COM06852 Introducao_aos_Sistemas_de_Informacao;;COM06842 Programacao_I;
21h00;COM06842 Programacao_I;COM11261 Trabalho_de_Conclusao_de_Curso_em_Sistemas_de_Informacao_II;COM06852 Introducao_aos_Sistemas_de_Informacao;;COM06842 Programacao_I;
21h50;;;;;;
